CustomerID,Recency,Frequency,Monetary,AvgOrderValue,CLV,Cluster
12395.0,2,1,346.1,346.1,415.32000000000005,0
12427.0,3,1,303.5,303.5,364.20000000000005,1
12431.0,5,1,358.25,358.25,429.90000000000003,1
12433.0,5,1,1919.1399999999999,1919.1399999999999,2302.968,1
12472.0,1,1,1631.3,1631.3,1957.56,0
12557.0,3,1,620.0,620.0,744.0,1
12567.0,1,1,1526.92,1526.92,1832.304,0
12583.0,5,1,855.86,855.86,1027.0320000000002,1
12600.0,3,1,76.5,76.5,91.80000000000001,1
12647.0,1,2,372.0,186.0,446.40000000000003,0
12662.0,5,1,261.48,261.48,313.77600000000007,1
12682.0,3,1,336.24,336.24,403.48800000000006,1
12686.0,3,1,89.14,89.14,106.96799999999999,1
12712.0,3,1,175.53,175.53,210.63600000000002,1
12720.0,1,1,473.39,473.39,568.068,0
12725.0,3,1,427.8,427.8,513.36,1
12738.0,3,1,155.35,155.35,186.42000000000002,1
12747.0,1,1,358.55999999999995,358.55999999999995,430.27199999999993,0
12748.0,1,7,479.12,68.44571428571429,574.9440000000001,0
12763.0,1,1,320.08,320.08,384.096,0
12779.0,3,1,248.16,248.16,297.79200000000003,1
12791.0,5,1,192.60000000000002,192.60000000000002,231.12000000000006,1
12793.0,3,1,131.8,131.8,158.16000000000003,1
12838.0,5,1,390.79,390.79,468.9480000000001,1
12841.0,1,2,505.99,252.995,607.1880000000001,0
12855.0,4,1,38.1,38.1,45.720000000000006,1
12868.0,5,1,203.3,203.3,243.96000000000004,1
12915.0,4,1,199.65,199.65,239.58000000000004,1
12921.0,5,1,322.40000000000003,322.40000000000003,386.88,1
12947.0,5,1,304.04,304.04,364.84800000000007,1
12967.0,3,1,1368.4,1368.4,1642.08,0
12971.0,3,1,45.12,45.12,54.14399999999999,1
13011.0,3,1,50.550000000000004,50.550000000000004,60.66000000000001,1
13013.0,3,2,1528.34,764.17,1834.008,0
13034.0,1,1,165.86,165.86,199.03200000000004,0
13047.0,5,3,366.63,122.21,439.956,1
13065.0,4,1,205.86,205.86,247.03200000000004,1
13069.0,1,2,332.5,166.25,399.0,0
13081.0,2,2,2366.78,1183.39,2840.1360000000004,0
13089.0,1,1,734.3999999999999,734.3999999999999,881.2799999999997,0
13090.0,4,1,160.6,160.6,192.71999999999997,1
13093.0,5,1,799.4,799.4,959.28,1
